repo_id,created_at_first,created_at_last,repo_name,repo_language,repo_description
7122594,2020-01-01 14:10:52,2023-03-31 23:48:46,directus/directus,TypeScript,Open-Source Data Platform 🐰  — Directus wraps any SQL database with a real-time GraphQL+REST API and an intuitive app for non-technical users.
7512484,2020-01-01 08:04:51,2023-03-31 23:23:56,ArduPilot/ardupilot,C++,"ArduPlane, ArduCopter, ArduRover, ArduSub source"
7548986,2020-01-01 10:43:03,2023-03-31 23:47:17,laravel/framework,PHP,The Laravel Framework.
7634677,2020-01-01 08:06:55,2023-03-31 22:42:49,openssl/openssl,C,TLS/SSL and crypto library
7716883,2020-01-01 12:32:24,2023-03-31 22:49:58,ankidroid/Anki-Android,Java,AnkiDroid: Anki flashcards on Android. Your secret trick to achieve superhuman information retention.
7833168,2020-01-01 10:40:00,2023-03-31 23:59:23,elastic/kibana,TypeScript,Your window into the Elastic Stack
9384267,2020-01-01 08:31:40,2023-03-31 23:59:39,electron/electron,C++,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS"
10270250,2020-01-01 09:25:58,2023-03-31 23:59:09,facebook/react,JavaScript,"A declarative, efficient, and flexible JavaScript library for building user interfaces."
10969551,2020-01-01 18:06:00,2023-03-31 23:59:03,cms-sw/cmssw,C++,CMS Offline Software
11125589,2020-01-01 08:31:37,2023-03-31 23:47:29,keycloak/keycloak,Java,Open Source Identity and Access Management For Modern Applications and Services
12888993,2020-03-02 21:00:16,2023-03-31 23:57:59,home-assistant/core,Python,:house_with_garden: Open source home automation that puts local control and privacy first.
13233158,2020-01-01 12:59:20,2023-03-31 23:48:46,obsproject/obs-studio,C,OBS Studio - Free and open source software for live streaming and screen recording
14218827,2020-12-08 09:41:20,2023-03-31 23:17:41,GoogleChrome/developer.chrome.com,HTML,Chrome Developers
15111821,2020-01-01 09:42:45,2023-03-31 23:55:42,grafana/grafana,TypeScript,"The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more."
15225670,2020-01-01 18:08:51,2023-03-31 22:08:17,jitsi/jitsi-meet,TypeScript,"Jitsi Meet - Secure, Simple and Scalable Video Conferences that you use as a standalone app or embed in your web application."
15231212,2020-01-01 13:45:43,2023-03-31 23:54:21,Automattic/jetpack,PHP,"Security, performance, marketing, and design tools — Jetpack is made by WordPress experts to make WP sites safer and faster, and help you grow your traffic."
15634981,2020-01-01 08:16:01,2023-03-31 23:49:48,godotengine/godot,C++,Godot Engine – Multi-platform 2D and 3D game engine
15730865,2020-01-01 08:25:18,2023-03-31 23:47:31,spack/spack,Python,"A flexible package manager that supports multiple versions, configurations, platforms, and compilers."
15783450,2020-01-02 00:55:28,2023-03-31 23:58:25,jlord/patchwork,Rich Text Format,All the Git-it Workshop completers!
16157746,2020-01-08 05:31:26,2023-03-31 22:32:43,dotnet/efcore,C#,"EF Core is a modern object-database mapper for .NET. It supports LINQ queries, change tracking, updates, and schema migrations."
16408992,2020-01-01 08:38:22,2023-03-31 23:49:33,neovim/neovim,Vim script,Vim-fork focused on extensibility and usability
16563587,2020-01-01 08:07:26,2023-03-31 23:59:33,cockroachdb/cockroach,Go,"CockroachDB - the open source, cloud-native distributed SQL database."
17165658,2020-01-01 08:05:53,2023-03-31 23:44:10,apache/spark,Scala,Apache Spark - A unified analytics engine for large-scale data processing
17620347,2020-01-08 05:27:37,2023-03-31 23:51:30,dotnet/aspnetcore,C#,"ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows, Mac, or Linux."
17914657,2020-01-01 08:07:37,2023-03-31 23:58:56,webcompat/web-bugs,,A place to report bugs on websites.
19745004,2020-01-01 08:23:52,2023-03-31 23:59:59,odoo/odoo,JavaScript,Odoo. Open Source Apps To Grow Your Business.
19753195,2020-01-01 15:35:48,2023-03-31 21:55:12,openhab/openhab-addons,Java,Add-ons for openHAB
20580498,2020-01-01 08:01:56,2023-03-31 23:59:25,kubernetes/kubernetes,Go,Production-Grade Container Scheduling and Management
20587599,2020-01-01 10:32:29,2023-03-31 23:43:40,apache/flink,Java,Apache Flink
20884782,2020-01-01 11:47:25,2023-03-31 23:58:40,Ultimaker/Cura,Python,3D printer / slicing GUI built on top of the Uranium framework
20929025,2020-01-01 08:02:24,2023-03-31 23:51:33,microsoft/TypeScript,TypeScript,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.
21740844,2020-01-02 09:14:27,2023-03-31 23:59:58,openshift/openshift-docs,HTML,OpenShift 3 and 4 product and community documentation
22456440,2020-01-01 08:26:52,2023-03-31 22:57:28,ppy/osu,C#,rhythm is just a *click* away!
22637619,2020-01-01 08:07:30,2023-03-31 23:56:18,AdguardTeam/AdguardFilters,Python,AdGuard Content Blocking Filters
22844864,2020-01-01 12:07:35,2023-03-31 23:41:05,matrix-org/synapse,Python,Synapse: Matrix homeserver written in Python/Twisted.
23083156,2022-02-06 22:49:30,2023-03-31 23:49:51,mui/material-ui,JavaScript,"MUI Core: Ready-to-use foundational React components, free forever. It includes Material UI, which implements Google's Material Design."
23096959,2020-01-01 08:05:56,2023-03-31 23:59:40,golang/go,Go,The Go programming language
23891194,2020-01-02 05:31:42,2023-03-31 23:59:20,Azure/azure-powershell,C#,Microsoft Azure PowerShell
24195339,2020-01-01 08:59:05,2023-03-31 23:11:30,angular/angular,TypeScript,The modern web developer’s platform
24410210,2020-01-01 09:52:04,2023-03-31 23:49:04,JetBrains/swot,Kotlin,Identify email addresses or domains names that belong to colleges or universities. Help automate the process of approving or rejecting academic discounts.
26337322,2020-01-01 08:05:06,2023-03-31 23:59:15,rancher/rancher,Go,Complete container management platform
27193779,2020-01-01 08:31:08,2023-03-31 23:59:48,nodejs/node,JavaScript,Node.js JavaScript runtime :sparkles::turtle::rocket::sparkles:
27729880,2020-01-01 12:13:59,2023-03-31 23:42:33,grpc/grpc,C++,"The C based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)"
27737393,2020-01-01 08:38:37,2023-03-31 23:54:50,qmk/qmk_firmware,C,Open-source keyboard firmware for Atmel AVR and Arm USB families
28239455,2020-02-20 05:19:15,2023-03-31 23:43:26,dotnet/AspNetCore.Docs,C#,Documentation for ASP.NET Core
28312955,2020-01-01 08:36:57,2023-03-31 23:45:51,home-assistant/home-assistant.io,HTML,:blue_book: Home Assistant User documentation
29028775,2020-01-01 11:29:28,2023-03-31 23:50:04,facebook/react-native,JavaScript,A framework for building native apps with React.
29078997,2020-01-01 08:02:01,2023-03-31 23:56:47,dotnet/roslyn,C#,The Roslyn .NET compiler provides C# and Visual Basic languages with rich code analysis APIs.
30203935,2020-01-01 08:41:00,2023-03-31 23:41:49,metabase/metabase,Clojure,"The simplest, fastest way to get business intelligence and analytics  to everyone in your company :yum:"
30892477,2020-01-01 14:17:22,2023-03-31 23:17:42,spyder-ide/spyder,Python,Official repository for Spyder - The Scientific Python Development Environment
31288958,2020-01-01 09:56:05,2023-03-31 23:59:32,hashicorp/vault,Go,"A tool for secrets management, encryption as a service, and privileged access management"
31558937,2020-01-02 08:35:22,2023-03-31 23:59:54,gravitational/teleport,Go,"Certificate authority and access plane for SSH, Kubernetes, web apps, databases and desktops"
31629751,2020-01-01 10:30:54,2023-03-31 23:59:49,cypress-io/cypress,JavaScript,"Fast, easy and reliable testing for anything that runs in a browser."
31792824,2020-01-01 08:00:32,2023-03-31 23:57:16,flutter/flutter,Dart,Flutter makes it easy and fast to build beautiful apps for mobile and beyond
32873313,2020-01-01 08:06:25,2023-03-31 23:43:06,systemd/systemd,C,The systemd System and Service Manager
33258973,2020-01-01 10:06:46,2023-03-31 23:35:27,influxdata/telegraf,Go,The plugin-driven server agent for collecting & reporting metrics.
33884891,2020-01-01 08:13:33,2023-03-31 23:51:41,apache/airflow,Python,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows"
34526884,2020-01-01 10:11:11,2023-03-31 22:54:44,ant-design/ant-design,TypeScript,🌈  A UI Design Language and React UI library
35866694,2020-01-01 09:04:26,2023-03-31 23:59:48,RocketChat/Rocket.Chat,JavaScript,The communications platform that puts data protection first.
35890081,2020-01-01 08:56:10,2023-03-31 23:34:45,dotnet/docs,PowerShell,This repository contains .NET Documentation.
36040894,2020-01-01 08:00:33,2023-03-31 18:48:52,gatsbyjs/gatsby,JavaScript,"Build blazing fast, modern apps and websites with React"
37346186,2020-01-01 15:46:45,2023-03-31 23:16:21,termux/termux-packages,Shell,A build system and primary set of packages for Termux.
38982731,2020-03-02 20:54:30,2023-03-31 23:58:58,home-assistant/frontend,TypeScript,:lollipop: Frontend for Home Assistant
39093389,2020-01-01 09:06:58,2023-03-31 23:56:40,Azure/azure-rest-api-specs,TypeScript,The source for REST API specifications for Microsoft Azure.
39211337,2020-01-01 17:16:20,2023-03-31 23:29:45,flutter/engine,C++,The Flutter engine
39464018,2021-01-06 01:59:19,2023-03-31 23:32:04,apache/superset,Python,Apache Superset is a Data Visualization and Data Exploration Platform
40276274,2020-01-01 08:16:48,2023-03-31 23:30:08,ziglang/zig,Zig,"General-purpose programming language and toolchain for maintaining robust, optimal, and reusable software."
40499714,2020-01-01 08:06:57,2023-03-31 23:57:40,gentoo/gentoo,Shell,[MIRROR] Official Gentoo ebuild repository
40687563,2020-01-01 10:26:30,2023-03-31 23:56:12,oppia/oppia,Python,"A free, online learning platform to make quality education accessible for all."
41288708,2020-01-01 08:10:04,2023-03-31 23:57:58,sourcegraph/sourcegraph,Go,Code Intelligence Platform
41829476,2020-01-01 17:40:15,2023-03-31 23:57:46,conda-forge/staged-recipes,Python,A place to submit conda recipes before they become fully fledged conda-forge feedstocks
41881900,2020-01-01 08:10:27,2023-03-31 23:59:51,microsoft/vscode,TypeScript,Visual Studio Code
41889031,2020-01-01 09:10:51,2023-03-31 21:52:58,TeamNewPipe/NewPipe,Java,A libre lightweight streaming front-end for Android.
41986369,2020-01-01 08:35:36,2023-03-31 22:59:39,pingcap/tidb,Go,TiDB is an open source distributed HTAP database compatible with the MySQL protocol
42009758,2020-01-01 17:21:57,2023-03-31 23:59:10,MetaMask/metamask-extension,JavaScript,:globe_with_meridians: :electric_plug: The MetaMask browser extension enables browsing Ethereum blockchain enabled websites
42372094,2020-01-01 11:54:19,2023-03-31 23:56:34,bioconda/bioconda-recipes,Shell,Conda recipes for the bioconda channel.
43160685,2020-01-01 09:15:50,2023-03-31 23:53:18,zulip/zulip,Python,Zulip server and web app—powerful open source team chat
43441403,2020-01-01 08:04:03,2023-03-31 23:54:17,strapi/strapi,JavaScript,🚀 Open source Node.js Headless CMS to easily build customisable APIs
43807251,2020-12-16 04:56:29,2023-03-31 23:42:49,tachiyomiorg/tachiyomi,Kotlin,Free and open source manga reader for Android.
44662669,2020-01-01 13:55:34,2023-03-31 23:43:01,dbeaver/dbeaver,Java,Free universal database tool and SQL client
44838949,2020-01-01 08:04:23,2023-03-31 23:41:04,apple/swift,C++,The Swift Programming Language
45717250,2020-01-01 08:03:49,2023-03-31 23:49:47,tensorflow/tensorflow,C++,An Open Source Machine Learning Framework for Everyone
45821540,2020-01-01 09:41:33,2023-03-31 23:54:23,openwrt/openwrt,C,This repository is a mirror of https://git.openwrt.org/openwrt/openwrt.git It is for reference only and is not active for check-ins or for reporting issues.  We will continue to accept Pull Requests here. They will be merged via staging trees then into openwrt.git. All issues should be reported at: https://bugs.openwrt.org
45865171,2020-01-01 08:44:27,2023-03-31 23:55:00,microsoftgraph/microsoft-graph-docs,PowerShell,Documentation for the Microsoft Graph REST API
45936895,2020-01-01 08:13:22,2023-03-31 23:58:50,Automattic/wp-calypso,JavaScript,The JavaScript and API powered WordPress.com
46374199,2020-01-01 12:37:54,2023-03-31 23:52:50,IntelRealSense/librealsense,C++,Intel® RealSense™ SDK
48109239,2020-01-02 08:39:02,2023-03-31 23:47:55,cilium/cilium,Go,"eBPF-based Networking, Security, and Observability"
49016322,2020-01-01 08:07:19,2023-03-31 23:54:58,angular/components,TypeScript,Component infrastructure and Material Design components for Angular
49609581,2020-01-01 09:35:52,2023-03-31 23:43:50,PowerShell/PowerShell,C#,PowerShell for every system!
49876476,2020-04-17 22:09:07,2023-03-31 23:59:16,apache/shardingsphere,Java,Build criterion and ecosystem above multi-model databases
49970739,2020-01-02 16:36:59,2023-03-31 23:54:46,DataDog/datadog-agent,Go,Datadog Agent
50904245,2020-01-01 18:04:29,2023-03-31 23:56:01,apache/beam,Java,Apache Beam is a unified programming model for Batch and Streaming
51040886,2020-01-01 08:50:11,2023-03-31 23:05:15,Azure/azure-cli,Python,Command-line tools for Azure.
51478266,2020-01-01 08:07:19,2023-03-31 23:38:06,kubernetes/website,HTML,Kubernetes website and documentation repo:
51905353,2020-01-01 12:31:29,2023-03-31 23:57:38,apache/arrow,C++,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing
52281283,2021-07-12 01:40:21,2023-03-31 23:44:14,mastodon/mastodon,Ruby,"Your self-hosted, globally interconnected microblogging community"
52300938,2020-01-01 13:47:42,2023-03-31 23:20:47,bitnami/charts,Mustache,Bitnami Helm Charts
52331602,2020-01-01 08:51:04,2023-03-31 23:50:10,openjournals/joss-reviews,,Reviews for the Journal of Open Source Software
52855516,2020-01-01 09:45:19,2023-03-31 23:55:10,Homebrew/homebrew-core,Ruby,🍻 Default formulae for the missing package manager for macOS (or Linux)
52882701,2020-01-01 11:00:21,2023-03-31 23:48:56,prusa3d/PrusaSlicer,C++,"G-code generator for 3D printers (RepRap, Makerbot, Ultimaker etc.)"
54173593,2020-01-01 08:07:38,2023-03-31 23:59:57,storybookjs/storybook,TypeScript,"📓 The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!"
55228249,2020-01-01 10:44:08,2023-03-31 23:44:03,uBlockOrigin/uAssets,Shell,"Resources for uBlock Origin, uMatrix: static filter lists, ready-to-use rulesets, etc."
55626935,2020-01-01 12:10:05,2023-03-31 23:24:11,microsoft/WSL,Python,Issues found on WSL
56353740,2020-01-01 10:22:53,2023-03-31 23:30:53,kubernetes/minikube,Go,Run Kubernetes locally
56710511,2020-01-01 14:03:31,2023-03-31 23:47:59,xamarin/xamarin-macios,C#,"Bridges the worlds of .NET with the native APIs of macOS, iOS, tvOS, and watchOS."
57333709,2020-01-01 08:15:57,2023-03-31 23:16:54,kubernetes/test-infra,Go,Test infrastructure for the Kubernetes project.
58559694,2020-01-01 10:10:18,2023-03-31 23:26:01,desktop/desktop,TypeScript,Focus on what matters instead of fighting with Git.
59771425,2020-01-01 10:48:44,2023-03-31 23:59:35,zephyrproject-rtos/zephyr,C,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures."
60010673,2020-01-01 09:05:46,2023-03-31 23:48:52,elementor/elementor,JavaScript,"The most advanced frontend drag & drop page builder. Create high-end, pixel perfect websites at record speeds. Any theme, any page, any design."
60243197,2020-01-01 09:59:15,2023-03-31 23:53:26,nextcloud/server,PHP,"☁️ Nextcloud server, a safe home for all your data"
60246359,2020-01-01 11:31:37,2023-03-31 23:57:04,ClickHouse/ClickHouse,C++,ClickHouse® is a free analytics DBMS for big data
60525392,2020-01-01 15:18:17,2023-03-31 23:48:59,demisto/content,Python,Demisto is now Cortex XSOAR. Automate and orchestrate your Security Operations with Cortex XSOAR's ever-growing Content Repository. Pull Requests are always welcome and highly appreciated!
60537144,2020-03-21 04:15:40,2023-03-31 23:50:02,microsoft/fluentui,TypeScript,We've moved! UI Fabric is now Fluent UI - A set of React components for building Microsoft web experiences.
61980658,2020-01-01 19:04:29,2023-03-31 23:59:28,azerothcore/azerothcore-wotlk,C++,Complete Open Source and Modular solution for MMO
62117812,2020-01-01 08:26:04,2023-03-31 23:54:59,apache/pulsar,Java,Apache Pulsar - distributed pub-sub messaging system
65214191,2020-01-01 08:22:04,2023-03-31 23:57:01,envoyproxy/envoy,C++,Cloud-native high-performance edge/middle/service proxy
65600975,2020-01-01 10:28:15,2023-03-31 23:58:57,pytorch/pytorch,C++,Tensors and Dynamic neural networks in Python with strong GPU acceleration
65711522,2020-01-01 09:26:48,2023-03-31 22:19:31,PaddlePaddle/Paddle,Python,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice （『飞桨』核心框架，深度学习&机器学习高性能单机、分布式训练和跨平台部署）
65750241,2020-01-01 09:03:38,2023-03-31 23:59:26,expo/expo,Objective-C,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web."
65772720,2022-09-29 21:44:59,2023-03-31 23:09:48,docker/docs,HTML,Source repo for Docker's Documentation
65899476,2020-01-01 08:07:43,2023-03-31 23:54:37,espressif/esp-idf,C,Espressif IoT Development Framework. Official development framework for ESP32.
68312233,2020-01-01 08:01:00,2023-03-31 23:36:02,microsoft/vcpkg,CMake,"C++ Library Manager for Windows, Linux, and MacOS"
68720867,2020-01-01 08:08:19,2023-03-31 23:52:43,firstcontributions/first-contributions,JavaScript,🚀✨ Help beginners to contribute to open source projects
69164196,2020-01-01 11:47:52,2020-03-31 21:13:26,prisma/prisma,Scala,"💾 Database Tools incl. ORM, Migrations and Admin UI (Postgres, MySQL & MongoDB)"
70107786,2020-05-28 02:07:16,2023-03-31 23:58:23,vercel/next.js,JavaScript,The React Framework
70365100,2020-01-01 08:30:24,2023-03-31 23:47:28,macports/macports-ports,Tcl,The MacPorts ports tree
70746484,2020-11-24 22:02:31,2023-03-31 22:57:50,apache/tvm,Python,"Open deep learning compiler stack for cpu, gpu and specialized accelerators"
71932349,2020-01-01 08:00:52,2023-03-31 23:46:07,ray-project/ray,Python,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged with RLlib, a scalable reinforcement learning library, and Tune, a scalable hyperparameter tuning library."
72495579,2020-01-01 08:05:00,2023-03-31 23:57:16,go-gitea/gitea,Go,"Git with a cup of tea, painless self-hosted git service"
72685026,2020-01-01 08:39:06,2023-03-31 23:55:31,MicrosoftDocs/azure-docs,PowerShell,Open source documentation of Microsoft Azure
74175805,2020-01-01 10:11:26,2023-03-31 23:48:49,istio/istio,Go,"Connect, secure, control, and observe services."
75224144,2020-01-01 15:21:36,2023-03-31 23:59:48,openshift/release,Shell,Release tooling for OpenShift
75821432,2020-01-01 08:02:11,2023-03-31 23:55:57,llvm/llvm-project,C++,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies. Note: the repository does not accept github pull requests at this moment. Please submit your patches at http://reviews.llvm.org.
76474200,2020-05-23 23:50:03,2023-03-31 23:53:09,apache/hudi,Java,"Upserts, Deletes And Incremental Processing on Big Data."
76686583,2020-01-01 09:11:42,2023-03-31 22:33:14,kubevirt/kubevirt,Go,Kubernetes Virtualization API and runtime in order to define and manage virtual machines.
76734068,2020-01-01 13:30:48,2023-03-31 23:48:19,renovatebot/renovate,TypeScript,Universal dependency update tool that fits into your workflows.
79658844,2020-12-16 04:50:04,2023-03-31 23:52:02,tachiyomiorg/tachiyomi-extensions,Kotlin,Source extensions for the Tachiyomi app.
80862584,2020-01-01 08:23:38,2023-03-31 23:59:56,WordPress/gutenberg,JavaScript,The Block Editor project for WordPress and beyond. Plugin is available from the official repository.
81598961,2020-01-01 08:11:44,2023-03-31 23:58:28,python/cpython,Python,The Python programming language
88650014,2020-01-01 10:44:10,2023-03-31 15:16:46,flutter/plugins,Dart,Plugins for Flutter maintained by the Flutter team
88860262,2020-01-01 16:42:20,2023-03-31 23:20:17,flathub/flathub,,Pull requests for new applications to be added
91253698,2020-01-01 09:57:56,2023-03-31 23:47:39,ccxt/ccxt,JavaScript,A JavaScript / Python / PHP cryptocurrency trading API with support for more than 100 bitcoin/altcoin exchanges
93301055,2020-01-01 14:36:33,2023-03-31 23:57:42,Regalis11/Barotrauma,C#,A 2D online multiplayer game taking place in a submarine travelling through the icy depths of Jupiter's moon Europa.
93444615,2020-11-03 00:48:36,2023-03-31 23:58:31,hashicorp/terraform-provider-aws,Go,Terraform AWS provider
93446042,2021-08-09 19:31:17,2023-03-31 23:46:05,hashicorp/terraform-provider-azurerm,Go,Terraform provider for Azure Resource Manager
97922418,2020-01-01 13:56:11,2023-03-31 23:59:30,leanprover-community/mathlib,Lean,Lean mathematical components library
99178995,2020-01-01 19:37:19,2023-03-31 18:30:43,MetaMask/eth-phishing-detect,JavaScript,Utility for detecting phishing domains targeting Ethereum users
99919302,2022-06-17 17:30:55,2023-03-31 23:53:54,apache/doris,Java,"Apache Doris is an easy-to-use, high performance and unified analytics database."
100060912,2020-01-01 08:16:43,2023-03-31 22:54:38,microsoft/terminal,C++,"The new Windows Terminal, and the original Windows console host - all in the same place!"
100061716,2020-01-01 09:12:04,2023-03-31 23:26:10,nrwl/nx,TypeScript,"Smart, Fast and Extensible Build System"
101807531,2020-01-01 10:30:52,2023-03-31 23:58:55,JuliaRegistries/General,Julia,The official registry of general Julia packages
102578345,2020-01-01 08:14:18,2023-03-31 22:50:44,coolsnowwolf/lede,C,Lean's OpenWrt source
102689445,2020-01-01 08:01:54,2023-03-31 22:41:21,mattermost/mattermost-webapp,TypeScript,Webapp of Mattermost server: https://github.com/mattermost/mattermost-server
105010691,2020-01-01 09:04:22,2023-03-31 23:23:57,nextcloud/desktop,C++,💻 Desktop sync client for Nextcloud
105712642,2020-01-02 15:33:28,2023-03-31 23:12:33,MicrosoftDocs/msteams-docs,HTML,Source for the Microsoft Teams developer platform documentation.
105808767,2020-01-01 09:23:52,2023-03-31 23:56:41,aws/aws-cdk,TypeScript,The AWS Cloud Development Kit is a framework for defining cloud infrastructure in code
